stator_od,stack_length,airgap,turns_per_coil,magnet_rem,slot_pole_combo,Kv,Torque,Kt_theoretical,Bg,Weight_kg
97.2,21.9,0.95,49,1.18,12N14P,24.8,1.177,0.3542,0.94,0.76
77.9,14.8,0.91,74,1.24,12N8P,31.5,0.366,0.3025,0.99,0.33
92.0,27.4,0.87,16,1.25,24N22P,31.5,1.396,0.2905,1.0,0.85
97.7,38.3,0.76,52,1.18,12N10P,14.1,2.138,0.6653,0.94,1.34
62.6,48.6,0.57,26,1.13,18N16P,23.3,0.633,0.3868,0.9,0.7
80.0,19.4,0.83,65,1.24,12N10P,25.7,0.505,0.3593,0.99,0.46
95.9,53.0,0.88,11,1.28,24N20P,22.8,3.136,0.4128,1.02,1.79
64.0,59.0,0.59,40,1.15,36N30P,6.0,0.685,1.5026,0.92,0.89
103.4,13.4,0.52,12,1.27,18N16P,102.7,1.089,0.0926,1.02,0.53
60.9,27.2,0.92,10,1.27,24N20P,84.8,0.4,0.1189,1.02,0.37
97.8,15.9,0.69,72,1.25,9N6P,27.9,0.924,0.3049,1.0,0.56
85.5,46.1,0.69,93,1.24,36N30P,2.5,1.985,3.9476,0.99,1.24
80.4,18.0,0.7,25,1.29,12N8P,71.8,0.745,0.1348,1.03,0.43
58.6,42.9,0.91,45,1.13,36N30P,8.5,0.314,1.0818,0.9,0.54
61.8,45.1,0.7,35,1.19,9N6P,38.5,0.494,0.2492,0.95,0.63
106.4,37.5,0.96,84,1.29,24N22P,4.0,2.73,2.4951,1.03,1.56
89.7,55.0,0.64,53,1.11,24N20P,5.6,2.243,1.6858,0.89,1.63
77.0,37.3,0.85,10,1.19,12N10P,98.4,0.791,0.0979,0.95,0.81
117.8,25.5,0.88,91,1.29,12N10P,9.1,2.19,1.0229,1.03,1.3
54.5,48.1,0.88,83,1.23,18N16P,8.1,0.453,1.13,0.98,0.53
47.9,53.3,0.8,55,1.12,12N8P,22.7,0.349,0.4418,0.9,0.45
57.0,16.3,0.81,35,1.21,12N14P,80.7,0.133,0.1115,0.97,0.19
65.2,25.4,0.76,61,1.18,9N6P,34.9,0.464,0.2556,0.94,0.4
