id,stator_od_mm,stator_id_mm,stack_length_mm,slots,poles,turns_per_slot,airgap_mm,ref_voltage_v,kv_rpm_v,kt_nm_a,rated_torque_nm,rated_current_a,resistance_ohm,efficiency_est,mass_est_kg
0,116.04,64.82,140.07,24,20,31,0.895,48,6.111522003795719,1.5437,15.766819052548465,10.42,0.7232,0.3637,47.691
1,116.2,72.03,46.74,36,30,51,0.982,48,5.918919639036186,1.6192,5.938656684401404,3.72,1.8101,0.3295,14.285
2,38.54,21.14,13.82,24,20,16,0.869,12,310.9694070347575,0.031,0.04592403528412005,1.48,0.3009,0.0713,0.527
3,51.33,35.35,15.78,24,20,13,0.893,12,229.57506652345003,0.0417,0.1311666623570237,3.19,0.1418,0.1268,0.803
4,48.43,25.51,25.24,24,20,31,0.897,12,72.3436655363547,0.1301,0.12406465700044185,0.94,1.5721,0.1301,1.572
5,138.69,86.38,163.74,36,30,20,0.37,48,3.35477316723131,2.8342,25.740956470365685,9.25,0.9054,0.3272,70.866
6,94.25,57.35,90.81,24,20,37,0.617,24,8.320717795253438,1.1474,4.405941756543052,3.85,1.5522,0.2999,18.672
7,123.98,80.41,93.11,12,14,30,0.896,48,14.366934202863064,0.679,6.510508788661409,9.26,0.312,0.3288,30.481
8,64.38,37.16,14.69,36,30,16,0.666,24,125.93332694860104,0.0766,0.2772071095959526,3.7,0.1958,0.084,1.492
9,102.05,61.31,116.93,24,22,37,0.366,48,5.415586776336235,1.7433,10.03092842864038,5.52,1.3734,0.3802,28.607
10,46.27,26.56,63.29,18,16,46,0.702,12,24.631842475938406,0.3813,0.46684721287332437,1.21,3.1752,0.2565,3.339
11,42.27,28.27,41.91,18,16,25,0.404,12,74.15491552235542,0.1296,0.147368890143327,1.09,1.3308,0.1777,1.521
12,129.76,91.65,68.14,12,8,54,0.313,48,8.501747408053427,1.1353,4.860901127354375,4.32,0.9893,0.5663,21.136
13,106.24,55.32,113.1,12,8,39,0.36,48,14.179753484118907,0.6697,5.85376365731115,9.09,0.4541,0.4926,34.199
14,59.81,32.81,45.6,12,14,51,0.483,12,41.723136208117374,0.2314,0.7241268824145884,3.12,0.7416,0.2998,4.191
15,112.63,59.38,83.69,36,30,77,0.846,48,2.499875898630948,3.8688,6.894460227002683,1.7,9.8549,0.2289,28.177
16,94.23,48.32,46.53,12,14,29,0.979,24,51.40150277185972,0.1876,2.2030020355316604,11.65,0.1252,0.2872,11.194
